,id_news,country,media_outlet,url,title,text,date,San_Pablo,San_Juan_de_la_Costa,Río_Negro,Quinchao,Quemchi,Quellón,Queilén,Puyehue,Purranque,Puqueldón,Puerto_Varas,Puerto_Octay,Puerto_Montt,Palena,Osorno,Maullín,Los_Muermos,Llanquihue,Hualaihué,Futaleufú,Frutillar,Fresia,Dalcahue,Curaco_de_Vélez,Cochamó,Chonchi,Chaitén,Castro,Calbuco,Ancud
0,21908558.0,chile,radiosago,https://www.radiosago.cl/140-contagios-de-covid-19-se-reportaron-este-jueves-en-la-region-de-los-lagos/,140 contagios de covid-19 se reportaron este jueves en la región de Los Lagos,"Así lo confirmó la autoridad sanitaria detallando que 32 de los contagios se reportaron en Puerto Montt, 17 en Osorno, 8 en Castro, 6 en Chonchi, 5 en Frutillar, Quellón y Hualaihué, 4 en Fresia, Quemchi y Purranque, 3 en Puerto Varas, Puerto Octay y Río Negro, 2 en Calbuco, 1 en Maullín, Ancud, Dalcahue, Quinchao, Puyehue y San Pablo, además de 33 casos sin notificar. Al día de hoy son 543 los casos activos, 267 en la provincia de Llanquihue, 124 en la de Chiloé, 128 en la de Osorno, 13 en la de Palena y 11 casos confirmados en la región de Los Lagos, pero con residencia fuera de esta. Durante esta jornada no se registraron fallecimientos, manteniendo la cifra de víctimas fatales por causas asociadas al virus en 1.520 a nivel regional desde el inicio de la pandemia. 137 personas permanecen hospitalizadas por COVID 19 en los distintos recintos asistenciales de la región, 47 de ellas en la UCI, de las cuales hay 42 que están conectadas a ventilación mecánica. Hay 2 camas UCI y 23 ventiladores mecánicos disponibles en la red integrada de salud regional.",2022-01-06,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1
1,21908579.0,chile,radiosago,https://www.radiosago.cl/por-tormentas-electricas-declaran-alerta-en-cuatro-comunas-de-los-rios/,Por tormentas eléctricas declaran alerta en cuatro comunas de Los Ríos,"Una Alerta Temprana Preventiva por tormentas eléctricas declaró la Oficina Nacional de Emergencia del Ministerio del Interior, en las comunas de Panguipulli, Río Bueno, Futrono y Lago Ranco. Según detalla la ONEMI, de acuerdo con la información proporcionada por la Dirección Meteorológica de Chile (DMC), a través un Aviso Meteorológico, se indica que entre la tarde y noche de hoy miércoles 05 de enero, es probable el desarrollo de tormentas eléctricas en el sector cordillerano de la Región de Los Ríos. En consideración a este antecedente, que supone un aumento del riesgo asociado a esta variable meteorológica, la ONEMI declara dicha alerta, vigente a contar de hoy y hasta que las condiciones así lo ameriten. Esto se constituye como un estado de reforzamiento de la vigilancia, mediante el monitoreo preciso y riguroso de las condiciones de riesgo y las respectivas vulnerabilidades asociadas a la amenaza, coordinando y activando al Sistema Nacional de Prevención y Respuesta ante Desastres (SINAPRED) con el fin de actuar oportunamente frente a eventuales situaciones de emergencia. También se recomienda a la población evitar la proximidad a maquinarias, cercas o rejas de metal, alambrados y líneas eléctricas y/o de telefonía; y no utilizar equipos radiales, aparatos GPS, teléfonos fijos o móviles durante la tormenta. Fuente: diariolagoranco.cl",2022-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21909623.0,chile,radiosago,https://www.radiosago.cl/gobernador-vallespin-llamo-a-construir-entre-todos-una-region-sustentable-e-inclusiva/,Gobernador Vallespin llamó a construir entre todos una región sustentable e inclusiva,"Patricio Vallespin, gobernador regional de Los Lagos, realizó un balance de lo que ha sido su gestión en este nuevo cargo indicando que “es promisorio y positivo, porque por una parte logramos instalar el gobierno regional con los equipos pertinentes y poder avanzar en muchas materias administrativas y técnicas ya que la anterior administración había sido muy poco eficiente, generando una expectativa de que para qué avanzar si llegaba otro y eso significó recibir un gasto muy retrasado, no tener avanzado los proyectos para marcar eficiencia para el próximo año y logramos reponer eso. Generamos equipos de trabajo motivados, se hicieron los ajustes pertinentes y hoy tenemos un gobierno regional preparado para los grandes desafíos que se vienen”. “Fuimos capaces de mejorar procedimientos administrativos y técnicos que se van a notar en el 2022, porque en el 2021 teníamos la mesa servida en materia de recursos, no podíamos innovar mucho, pero el 2022 y 2023 se van a notar los ajustes que estamos haciendo en estos primeros seis meses de gestión”, agregó el gobernador. Gestión 2023 La máxima autoridad regional de Los Lagos, dijo que “lo que viene para el 2023 es muy expectante, porque creo que el nuevo gobierno del presidente electo, Gabriel Boric, va a ser de la agenda descentralizadora una carta de navegación. Nuestra mirada es tener claridad respecto de los grandes desafíos de la región, vamos a tener un pacto por una región sustentable e inclusiva, la que será nuestra propia carta de navegación donde los sectores productivos van a comprometer su actuar. Vamos a definir prioridades claras para tener una agenda y cartera de proyectos muy potentes en materia de obras públicas, de tal forma de avanzar en agua potable rural, en caminos, en infraestructura portuaria, y otras iniciativas relevantes”. Vallespin añadió “hemos logrado un aumento importante del presupuesto de la región a través de una negociación directa con la Dirección de Presupuesto y el Congreso, lo que va ligado a la positiva evaluación de la naciente Asociación de Gobernadores Regionales con el fin de fijar la agenda descentralizadora a nivel nacional. Este 12 de enero vamos a tener una reunión con el presidente electo, Gabriel Boric, y los 16 gobernadores, ocasión en que queremos marcar los puntos centrales y compartir los desafíos que él nos había anticipado y que ahora debe hacer parte de su accionar como presidente.” “La evaluación de lo hecho hasta el minuto es positiva, las perspectivas son muy promisorias porque la descentralización va a ser parte de la agenda del futuro gobierno de Gabriel Boric y también estará presente en la convención constitucional, donde estamos preparando como gobernadores regionales una propuesta de lo que debieran ser los contenidos esenciales de la carta magna en materia de descentralización. Por lo tanto, nos sentimos muy satisfechos por lo que hemos realizado y motivados para seguir avanzando con desafíos realizables, pero con mirada de futuro, porque el desarrollo regional sustentable de la región de Los Lagos lo podemos hacer realidad trabajando todos juntos”, finalizó el gobernador Patricio Vallespin.",2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21909637.0,chile,radiosago,https://www.radiosago.cl/cuatro-viviendas-fueron-afectadas-por-un-incendio-en-rio-bueno/,Cuatro viviendas fueron afectadas por un incendio en Río Bueno,"Un incendio se desató en la madrugada de este sábado 01 de enero en la ciudad de Río Bueno, dejando como saldo dos viviendas destruidas y otras 2 con daños. El siniestro ocurrió en el pasaje Isabel Riquelme de la población Ejército Libertador, activándose la alarma de emergencia a las 05:00 horas, concurriendo la totalidad del Cuerpo de Bomberos de Río Bueno a cargo de segundo comandante, Juan Pérez Leal, y Carabineros de Río Bueno. Dos viviendas resultaron totalmente destruidas mientras otras dos quedaron con daños en un 50% de su estructura. El Fiscal de Río Bueno, Sergio Fuentes, instruyó que Labocar realice las diligencias investigativas para determinar las causas del incendio. Fuente: Diario Lago Ranco",2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21909643.0,chile,radiosago,https://www.radiosago.cl/un-muerto-deja-accidente-la-madrugada-de-este-2022-en-castro/,Un muerto deja accidente la madrugada de este 2022 en Castro,"Un hombre falleció luego que el vehículo que conducía chocó contra un muroEl lamentable hecho se registró esta mañana, pasadas las 7:00 horas de este día 1º de Enero en el sector de Nercón, donde por circunstancias que deberán ser investigadas, un vehículo choca contra el muro de Cabañas El Chilote, falleciendo su conductor en el sitio del suceso. Hasta el lugar llegó personal de la 4ª compañía de bomberos, carabineros y personal del SAMU, siendo estos últimos quienes constataron el fallecimiento de la persona. Por instrucción de fiscalía, será la SIAT de carabineros quienes quedarán a cargo de las diligencias y peritajes para establecer la causa del fatal accidente.",2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21827575.0,chile,radiosago,https://www.radiosago.cl/realizan-primer-coe-comunal-2022-de-coordinacion-en-osorno/,Realizan primer COE comunal 2022 de coordinación en Osorno,"Hasta la sala de sesiones del municipio de Osorno llegaron representantes de diversos organismos para participar del primer Comité Operativo de Emergencias comunal de 2022, convocado por la casa edilicia como una forma de conocerse y conocer también la labor que cada una tiene en una eventual emergencia. El trabajo de coordinación preventivo es fundamental a la hora de enfrentar este tipo de hechos, coincidieron los presentes, entre los que figuraban, además del alcalde de la comuna y directores de departamentos municipales, Carabineros, PDI, ejército, Conaf, Cruz Roja, entre otras. El alcalde Emeterio Carrillo aseguró que en la comuna hay lugares especialmente peligrosos por la acumulación de pastizales y microbasurales en los que no pueden intervenir debido a que son propiedad de particulares, haciendo un llamado a colaborar en ello. En tanto, el director regional de Onemi Los Lagos, Alejandro Vergés, manifestó la importancia de coordinar acciones, debido a que ningún organismo puede trabajar solo en cualquier tipo de emergencia que se presente. Por su parte, el jefe provincial de Conaf Osorno, Richard Hueitra, insistió en que hay lugares dentro del área periurbana de Osorno que revisten peligro de combustión.  El municipio dispuso de un teléfono de emergencias para la comunidad que es el 642 232444, el que está atendiendo las 24 horas del día por profesionales de turno que derivarán los requerimientos a las autoridades competentes, sobre problemas relacionados con inundaciones, caídas de árboles, incendios, deslizamientos de tierras, fallas en el alumbrado público, hoyos, microbasurales, entre otros.",2022-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,21827576.0,chile,radiosago,https://www.radiosago.cl/inauguran-escultura-de-monsenor-francisco-valdes-en-osorno-a-40-anos-de-su-muerte/,"Inauguran escultura de Monseñor Francisco Valdés en Osorno, a 40 años de su muerte","Tras poco más de tres años desde que se anunciara, este martes fue inaugurada y presentada a la comunidad la escultura de Monseñor Francisco Valdés Subercaseaux, primer obispo de la iglesia Católica en Osorno, justo a cuarenta años de su fallecimiento. En un acto realizado en el frontis de la Catedral San Mateo, autoridades eclesiásticas y de la comuna, ofrecieron palabras por la vida y obra del sacerdote, recordado por su austeridad y gran cercanía con la comunidad. Uno de los momentos más emotivos fue la reproducción de un audio de archivo en el que hablaba a los fieles de Osorno. Hernán Pinochet, vicepresidente de la Corporación para el Desarrollo de la Provincia de Osorno y uno de los artífices de este proyecto, mostró su conformidad y emoción por la concreción del mismo. Fueron más de dos años de trabajo que realizó el escultor Francisco Torres Rojas en su taller de Valparaíso. Se trata de una réplica de la figura del Monseñor Valdés, de 2,10 metros de altura, en un estilo clásico con detalles minuciosos, enmarcado en la tradición de la escultura cristiana occidental. El artista, presente en la ceremonia, comentó el trabajo, calificándolo como un regalo para la ciudad. Al acto llegaron familiares de Francisco Valdés, quienes se mostraron conmovidos y emocionados por el homenaje a quien fuera el primer obispo de la diócesis de Osorno.",2022-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21827543.0,chile,radiosago,https://www.radiosago.cl/nueva-escuela-walterio-meyer-de-osorno-podria-inaugurarse-en-marzo-del-2022/,Nueva Escuela Walterio Meyer de Osorno podría inaugurarse en marzo del 2022,"Así lo dio a conocer el director del Departamento de Administración de la Educación Municipal de Osorno, Mauricio Gutiérrez, quien informó que la reconstrucción de este recinto educativo ubicado en la ruta 215 lleva un 95 por ciento de avance. El directivo dijo la empresa culminará la obra a finales de enero, tras lo cual se realizarán las observaciones pertinentes. Tras esto, el directivo dijo que los alumnos podrían comenzar el año escolar en este establecimiento. Recordemos que esta escuela rural sufrió un incendio el año 2013, destruyéndose completamente. Posterior a este siniestro, desde el Ministerio de Educación se habían comprometido a financiar la reconstrucción a través del programa “Sello”, sin embargo, esto nunca ocurrió, lo cual explica la tardanza de este proyecto. Finalmente, el proyecto fue ejecutado por el municipio de Osorno, con una inversión que supera los 3 mil millones de pesos, con recursos FNDR. Los 173 alumnos de la escuela rural Walterio Meyer podrían volver en marzo del 2022 a las dependencias originales de este recinto y, así, dejar de trasladarse a la Escuela España.",2022-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,21827577.0,chile,radiosago,https://www.radiosago.cl/rafael-kauak-dejo-el-cargo-de-superintendente-de-bomberos-de-osorno-tras-41-anos/,Rafael Kauak dejó el cargo de superintendente de Bomberos de Osorno tras 41 años,"Casi a las 8 de la tarde de este lunes comenzó la ceremonia de traspaso de mando del superintendente del Cuerpo de Bomberos de Osorno en el frontis del cuartel general ubicado en calle Manuel Antonio Matta. Hasta el lugar llegaron los voluntarios de las distintas compañías de Osorno, quienes en forma solemne se ordenaron frente al grupo de autoridades bomberiles para presenciar un hito dentro de la historia de la institución local, tras 42 años en el cargo de Rafael Kauak. Ahora será René Antipa Sanhueza quien ocupe el cargo. Por lo pronto, Rafael Kauak indicó que seguirá colaborando con la institución, ahora como director honorario. En tanto, el nuevo superintendente, René Antipa, señaló los principales desafíos y proyectos que tendrán bajo su mandato, además de que existen los medios para seguir funcionando. Uno de los invitados al acto fue el alcalde Emeterio Carrillo, quien aseguró que existe un compromiso entre el municipio y bomberos.  Bomberos continúa con la captación de donaciones por parte de la comunidad, las que se pueden realizar directamente o a través de la cuenta del agua.",2022-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,21827590.0,chile,radiosago,https://www.radiosago.cl/comunidad-mapuche-ocupa-ilegalmente-predio-de-empresa-forestal-en-la-comuna-de-osorno/,Comunidad Mapuche ocupa ilegalmente predio de empresa forestal en la comuna de Osorno," De acuerdo con lo difundido a través de redes sociales, integrantes de una comunidad Mapuche procedió a tomar terrenos en el sector Cuquimo, distante a unos 10 kilómetros de Osorno, por la ruta U- 220, camino a la Misión.    Carabineros de Osorno fue alertado del hecho y concurrió al lugar, donde se entrevistaron con quienes hacen ocupación de forma ilegal, dejando de manifiesto que su accionar corresponde a una reivindicación territorial.      El predio de propiedad de Forestal Arauco, se encuentra tomado desde este lunes 3 de enero.",2022-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
