,id_news,title,label,anotador
0,47135604.0,Diputados UDI piden información a  municipalidades y Metro de Santiago por denuncias de acoso en barrio universitario,NEU,agarnica
2,47136121.0,Panquehue implementa aplicación lectora de patentes vehiculares,POS,agarnica
3,47136140.0,Dos personas fallecidas dejó accidente de tránsito en las cercanías de Collipulli,NEG,agarnica
4,47136168.0,Nuevo ataque incendiario dejó un camión destruido en la ruta Lumaco- Traiguén,NEG,agarnica
6,47137055.0,PDi detuvo a 4 personas por tráfico en Laguna de Zapallar,POS,agarnica
7,47137152.0,Fintech Clever lanza ambicioso programa de referidos para triplicar su presencia nacional en 2022,POS,agarnica
8,47138493.0,"Murió Luis Cortes Villa, expresidente de la fundación del dictador Augusto Pinochet",POS,agarnica
9,47138503.0,Presidente Gabriel Boric encabeza primera reunión del Comité Interministerial de Respuesta Pandémica,POS,agarnica
10,47140850.0,Hospital reconoce el compromiso y dedicación de especialista que continuará trabajando tras cumplir con su Periodo Asistencial Obligatorio,POS,agarnica
11,47144093.0,En ajuste de cuentas disparan a ciudadano haitiano en la Copec de O’Higgins,NEG,agarnica
12,47144165.0,Desde mañana al fin empieza a rodar el balón en el fútbol amateur local,POS,agarnica
13,47144169.0,Unos mil contribuyentes serán asesorados por alumnos del Roberto Humeres,POS,agarnica
14,47149030.0,Estos son los principales riesgos de la Región de Coquimbo frente al Cambio Climático,NEG,agarnica
15,47153512.0,Delegada Sofía González fija lineamientos a nuevos seremis en primer Gabinete Regional,NEU,agarnica
16,47153516.0,Festival de documentales más importante de Canadá tendrá foco en el cine chileno,POS,agarnica
17,47153518.0,Alcaldesas y alcaldes se reúnen con ministra Izkia Siches para proponer lineamientos de seguridad,POS,agarnica
18,47153530.0,"Mes del Libro en Valparaíso trae cuentacuentos con María Izquierdo, poesía en lancha y puntos lectores",POS,agarnica
19,47153575.0,Rector UV por acogida de académicos de Ucrania: “Se trata de un esfuerzo humanitario para disminuir el dolor de muchas familias afectadas por la guerra”,POS,agarnica
20,47153604.0,Diputada Camila Rojas refuerza trabajo para período de su pre y posnatal con equipo distrital,NEU,agarnica
21,47153605.0,Presidenta de Comisión Pesca de la Cámara visita a trabajadores pesqueros en su sede sindical para dialogar sobre problemáticas y propuestas,POS,agarnica
22,47163377.0,Escuela formativa desarrolla el Atletismo en Illapel,POS,agarnica
23,47163380.0,Una mujer víctima de violencia intrafamiliar se podría demorar hasta 5 años en denunciar,NEG,agarnica
24,47163543.0,La Serena conmemora Día de la Visibilidad Trans,POS,agarnica
25,47163574.0,Condenan a 5 años y un día de presidio efectivo a autor de tráfico de drogas en Los Vilos,POS,agarnica
26,47174459.0,"En Llay Llay decomisan armas, municiones y droga",POS,agarnica
27,47174461.0,Suspenden clases de educación física en colegios de Quintero y Puchuncaví por falla en fundición Codelco Ventanas,NEG,agarnica
28,47174505.0,"Exministro de la Corte de Apelaciones de Valparaíso, Julio Miranda, falleció a los 78 años",NEG,agarnica
29,47174508.0,Locatarios viñamarinos visibilizan sus requerimientos en la previa de anuncios para la reactivación económica en La Moneda,POS,agarnica
30,47174872.0,Cambio de hora en Chile: hoy se ajusta al horario de invierno,NEU,agarnica
31,47246103.0,Funeral narco terminó con apuñalado y desmanes en SAPU de Reñaca,NEG,agarnica
