,id_news,title,label,anotador,label_ministerio
170,47687324.0,"""Especies invasoras"" en Los Ríos: un incómodo debate medioambiental - Diario de Valdivia",,agarnica,
171,47687326.0,"Municipalidad renueva planes de sexualidad, afectividad y género en liceos de Valdivia - Diario de Valdivia",,agarnica,
172,47687334.0,Celebran 50 años de Radio Austral en Valdivia - Diario de Valdivia,,agarnica,
173,47687336.0,Desconocidos robaron en dependencias municipales de La Unión - Diario de Valdivia,,agarnica,
174,47687343.0,Casos activos de covid-19 siguen cayendo: este viernes se reportaron menos de 400 - Diario de Valdivia,,agarnica,
175,47687345.0,Confenats exige salida del director subrogante del Servicio de Salud Valdivia - Diario de Valdivia,,agarnica,
176,47687346.0,Adultos mayores aprenderán a tocar guitarra en Valdivia - Diario de Valdivia,,agarnica,
177,47687347.0,Los Ríos da inicio a abril con 115 contagios de covid-19 - Diario de Valdivia,,agarnica,
178,47687348.0,Detienen a involucrado en amenazas de masacre a Liceo de Valdivia - Diario de Valdivia,,agarnica,
179,47687354.0,Municipio y Carabineros realizan operativo conjunto para evitar fiestas en costanera - Diario de Valdivia,,agarnica,
180,47687355.0,Cambio de hora 2022: no olvides ajustar tu reloj  - Diario de Valdivia,,agarnica,
181,47687366.0,Conoce dónde puedes hacerte un test PCR en la Región de Los Ríos - Diario de Valdivia,,agarnica,
182,47718271.0,PDI investiga robo que afectó al área de finanzas del municipio de La Unión,,agarnica,
183,47731487.0,Suspenden recolección de basura este viernes en Río Bueno - Diario Río Bueno,,agarnica,
184,47731949.0,"Mira el nuevo programa en CN Televisión, «La Historia es Nuestra»",,agarnica,
185,47733151.0,Encuentran a persona extraviada en sector rural de Futrono - Diario Futrono,,agarnica,
186,47730954.0,Comités de Malalhue en alerta por toma ilegal de terreno - Diario Lanco,,agarnica,
187,47731472.0,Este viernes: dos furgones colisionaron en la ruta Puerto Nuevo-La Unión - Diario Río Bueno,,agarnica,
188,47731913.0,Tribunal ordena restituir cauce en reserva Mocho Choshuenco,,agarnica,
189,47732408.0,Desconocidos robaron en dependencias municipales de La Unión - Diario De La Unión,,agarnica,
